57,18,26,54,12,SEDANG
44,12,20,55,14,SEDANG
62,3,16,35,18,SEDANG
35,8,22,43,14,BAIK
41,12,39,42,13,BAIK
55,4,39,52,20,SEDANG
48,15,53,37,13,SEDANG
27,3,35,45,11,BAIK
32,10,31,32,13,BAIK
65,3,39,35,22,SEDANG
51,16,21,34,13,SEDANG
31,3,30,47,9,BAIK
37,8,25,39,17,BAIK
20,3,31,61,9,SEDANG
59,3,23,53,17,SEDANG
46,22,33,34,16,BAIK
30,8,22,35,18,BAIK
59,2,22,50,17,SEDANG
21,2,18,58,7,SEDANG
36,18,24,39,13,BAIK
20,6,15,31,16,BAIK
59,3,33,42,21,SEDANG
46,21,26,33,12,BAIK
19,2,31,45,10,BAIK
26,11,13,29,14,BAIK
53,3,21,46,17,SEDANG
42,17,24,46,13,BAIK
15,2,11,45,4,BAIK
27,8,19,36,14,BAIK
21,3,12,56,4,SEDANG
55,3,17,48,9,SEDANG
43,16,22,40,13,BAIK
25,11,13,37,17,BAIK
68,3,47,44,19,SEDANG
17,2,33,52,8,SEDANG
46,15,23,42,12,BAIK
26,7,9,44,12,BAIK
63,3,27,43,14,SEDANG
15,3,22,59,6,SEDANG
47,15,26,41,11,BAIK
31,7,22,35,17,BAIK
47,3,23,47,19,BAIK
32,6,16,32,14,BAIK
26,3,8,28,6,BAIK
61,4,23,42,18,SEDANG
21,3,22,36,7,BAIK
28,9,11,31,13,BAIK
62,3,23,44,18,SEDANG
39,14,24,29,12,BAIK
20,2,18,33,6,BAIK
23,7,14,31,12,BAIK
55,3,38,27,22,SEDANG
39,15,32,26,15,BAIK
27,6,23,25,18,BAIK
24,2,23,25,6,BAIK
52,3,33,21,16,SEDANG
39,16,29,22,12,BAIK
28,6,27,17,13,BAIK
19,2,17,22,4,BAIK
16,4,24,42,8,BAIK
40,2,10,19,7,BAIK
21,14,26,21,8,BAIK
40,2,10,20,7,BAIK
28,15,21,34,7,BAIK
20,5,13,32,8,BAIK
53,3,17,36,6,SEDANG
29,16,22,25,9,BAIK
20,5,13,28,8,BAIK
20,2,15,22,3,BAIK
51,2,13,24,8,SEDANG
20,5,20,42,12,BAIK
32,18,27,26,13,BAIK
17,2,8,18,3,BAIK
40,3,11,25,7,BAIK
